Campaign performance
All time
Campaign,Campaign state,Campaign type,Month,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search lost IS (budget),Revenue
Buen Fin 2025,Paused,Demand Gen,November 2025,"72,035","3,629,233",1.98%,MXN,0.22,15934.51,0,0,6.96,155,2288.98,0.01%, --,13285.05
Xmas Sale,Paused,Demand Gen,December 2025,"66,706","2,072,377",3.22%,MXN,0.24,15831.59,0,0,3.00,251,5277.20,0.00%, --,6508.49
Cybermonday,Paused,Demand Gen,December 2025,"32,465","1,050,782",3.09%,MXN,0.31,9967.45,0,0,0.00,48,0,0.00%, --,0.00
PMAX Champions,Enabled,Performance Max,June 2025,"28,587","1,270,969",2.25%,MXN,2.63,75251.00,0,0,92.49,916,813.60,0.10%,6.82%,240768.53
PMAX Champions,Enabled,Performance Max,August 2025,"26,883","1,050,634",2.56%,MXN,2.60,69764.91,0,0,115.62,"1,871",603.40,0.24%,6.74%,290233.60
PMAX Champions,Enabled,Performance Max,December 2024,"25,970","826,436",3.14%,MXN,2.43,63166.48,0,0,123.70,538,510.63,0.41%,3.37%,323337.28
PMAX Champions,Enabled,Performance Max,January 2025,"25,504","721,853",3.53%,MXN,2.14,54581.61,0,0,73.62,194,741.43,0.26%,2.44%,197454.80
PMAX Champions,Enabled,Performance Max,November 2024,"25,256","867,501",2.91%,MXN,2.58,65199.88,0,0,115.62,97,563.90,0.41%,2.84%,268916.43
PMAX Champions,Enabled,Performance Max,September 2025,"25,045","736,581",3.40%,MXN,2.76,69004.95,0,0,137.63,280,501.38,0.30%,16.66%,330989.98
PMAX Champions,Enabled,Performance Max,May 2025,"24,836","836,553",2.97%,MXN,2.81,69837.38,0,0,113.56,495,615.01,0.16%,2.48%,249907.94
PMAX Champions,Enabled,Performance Max,July 2025,"22,808","900,736",2.53%,MXN,2.60,59413.26,0,0,81.05,622,733.08,0.19%,6.91%,185109.83
PMAX Champions,Enabled,Performance Max,March 2025,"22,556","609,991",3.70%,MXN,2.09,47125.35,0,0,69.02,151,682.76,0.26%,1.80%,168882.74
PMAX Champions,Enabled,Performance Max,December 2025,"22,280","645,090",3.45%,MXN,2.91,64768.00,0,0,137.11,150,472.37,0.53%,8.00%,400167.47
PMAX Champions,Enabled,Performance Max,May 2024,"21,414","1,535,265",1.39%,MXN,2.56,54779.43,0,0,99.41,144,551.03,0.37%, --,286747.97
PMAX Champions,Enabled,Performance Max,June 2024,"20,703","1,057,244",1.96%,MXN,2.56,52953.35,0,0,86.42,92,612.74,0.29%, --,216205.46
PMAX Champions,Enabled,Performance Max,October 2024,"20,526","479,961",4.28%,MXN,2.46,50529.27,0,0,77.12,62,655.18,0.31%,0.90%,212742.13
PMAX Champions,Enabled,Performance Max,October 2025,"20,453","541,007",3.78%,MXN,3.40,69611.74,0,0,73.08,613,952.53,0.21%,16.11%,198709.14
PMAX Champions,Enabled,Performance Max,August 2024,"19,210","867,160",2.22%,MXN,2.51,48177.27,0,0,82.81,20,581.80,0.24%, --,222263.02
PMAX Champions,Enabled,Performance Max,August 2023,"18,315","1,084,972",1.69%,MXN,1.94,35561.56,0,0,66.00,176,538.81,0.34%, --,124967.88
PMAX Champions,Enabled,Performance Max,February 2025,"17,939","486,906",3.68%,MXN,1.74,31144.85,0,0,55.92,136,556.95,0.29%,0.29%,158309.33
PMAX Champions,Enabled,Performance Max,September 2024,"17,883","513,731",3.48%,MXN,2.57,45899.79,0,0,94.85,127,483.90,0.46%,1.01%,273726.85
PMAX Champions,Enabled,Performance Max,April 2023,"17,811","1,382,326",1.29%,MXN,1.36,24198.41,0,0,66.00,65,366.64,0.36%, --,137114.93
PMAX Champions,Enabled,Performance Max,December 2023,"17,725","1,109,841",1.60%,MXN,1.91,33858.22,0,0,52.00,284,651.12,0.27%, --,136546.16
PMAX Champions,Enabled,Performance Max,November 2025,"17,379","567,568",3.06%,MXN,3.43,59582.64,0,0,150.82,464,395.06,0.60%,10.33%,332216.92
PMAX Champions,Enabled,Performance Max,December 2022,"16,315","824,366",1.98%,MXN,1.25,20445.05,0,0,69.00,86,296.31,0.40%, --,131247.55
PMAX Champions,Enabled,Performance Max,November 2023,"15,989","1,183,025",1.35%,MXN,2.26,36138.59,0,0,75.00,101,481.85,0.39%, --,192963.08
PMAX Champions,Enabled,Performance Max,April 2025,"15,965","512,926",3.11%,MXN,2.27,36168.56,0,0,40.79,688,886.70,0.09%,2.39%,110710.79
PMAX Champions,Enabled,Performance Max,March 2024,"15,384","674,480",2.28%,MXN,1.92,29575.97,0,0,43.22,225,684.38,0.25%, --,101969.99
