Change history report
"April 20, 2024 - April 20, 2026"
Date & time,User,Campaign,Ad group,Changes
"Apr 20, 2026, 11:47:09 AM",ponces.efrain@gmail.com,,,"Customer manager changed
  Status changed from Pending to Active"
"Apr 20, 2026, 11:44:45 AM",ponces.efrain@gmail.com,,,"Customer manager created
  Status is Pending
  The manager id is 4241824754"
"Mar 25, 2026, 3:52:57 PM",ponces.efrain@gmail.com,Miguel Caballero Demand Gen,,"1 bid adjustment change
  Connected TV: Platform bid adjustment set to -100%"
"Mar 25, 2026, 3:52:24 PM",ponces.efrain@gmail.com,Miguel Caballero Demand Gen,,"Campaign changed
  GMC feed is enabled
  GMC Feed 262129260 is added"
"Mar 25, 2026, 3:52:24 PM",ponces.efrain@gmail.com,Miguel Caballero Demand Gen,Chaleco,"1 product target added
  All products"
"Mar 23, 2026, 8:17:41 PM",Recommendations Auto-Apply,PMAX Winners,,"Campaign changed
  Target ROAS changed from 450% to 360%"
"Mar 10, 2026, 8:41:31 AM",ponces.efrain@gmail.com,PMAX Improvers,,"Campaign changed
  Target ROAS changed from 300% to 450%"
"Mar 10, 2026, 8:40:57 AM",ponces.efrain@gmail.com,PMAX Champions,,"Campaign changed
  Target ROAS changed from 550% to 450%"
"Mar 10, 2026, 8:39:56 AM",ponces.efrain@gmail.com,"Shopping - Bleeders, zombies, dead",Zombie,"1 ad group target ROAS updated
  Target ROAS is 400%"
"Mar 10, 2026, 8:39:53 AM",ponces.efrain@gmail.com,"Shopping - Bleeders, zombies, dead",Bleeders,"1 ad group target ROAS updated
  Target ROAS is 400%"
"Mar 10, 2026, 8:39:47 AM",ponces.efrain@gmail.com,"Shopping - Bleeders, zombies, dead",Dead,"1 ad group target ROAS updated
  Target ROAS is 400%"
"Mar 10, 2026, 8:39:32 AM",ponces.efrain@gmail.com,Ubicaciones,CDMX,"1 ad group target ROAS updated
  Target ROAS was 400%"
"Mar 10, 2026, 8:39:09 AM",ponces.efrain@gmail.com,Search,,"""Search ROAS"": Target ROAS changed from 5 to 4.5
  "
"Mar 10, 2026, 8:39:07 AM",ponces.efrain@gmail.com,Search,5.11,"1 ad group target ROAS updated
  Target ROAS was 500%"
"Mar 10, 2026, 8:39:07 AM",ponces.efrain@gmail.com,Search,Risk,"1 ad group target ROAS updated
  Target ROAS was 800%"
"Mar 10, 2026, 8:38:45 AM",ponces.efrain@gmail.com,Ubicaciones,,"""Ubicaciones ROAS"": Target ROAS changed from 3.2 to 4.5
  "
"Mar 10, 2026, 8:38:23 AM",ponces.efrain@gmail.com,Ubicaciones,Metepec,"1 ad group target ROAS updated
  Target ROAS is 400%"
"Mar 10, 2026, 8:38:02 AM",ponces.efrain@gmail.com,Ubicaciones,Toluca,"1 ad group target ROAS updated
  Target ROAS is 400%"
"Mar 10, 2026, 8:37:55 AM",ponces.efrain@gmail.com,Ubicaciones,CDMX,"1 ad group target ROAS updated
  Target ROAS is 400%"
"Mar 10, 2026, 8:37:01 AM",ponces.efrain@gmail.com,Search,5.11,"1 ad group target ROAS increased
  Target ROAS changed from 300% to 500%"
"Mar 10, 2026, 8:34:13 AM",ponces.efrain@gmail.com,Search,,"1 budget amount increased
  Search: Budget amount changed from MX$1,200.00 to MX$1,300.00"
"Mar 10, 2026, 8:34:08 AM",ponces.efrain@gmail.com,PMAX Champions,,"1 budget amount increased
  PMAX Champions: Budget amount changed from MX$1,800.00 to MX$1,900.00"
"Mar 10, 2026, 8:33:42 AM",ponces.efrain@gmail.com,Ubicaciones,,"1 budget amount decreased
  Ubicaciones: Budget amount changed from MX$310.00 to MX$80.00"
"Mar 2, 2026, 9:48:34 PM",Recommendations Auto-Apply,Search,Botas 5.11,"1 broad match keyword removed
  botas 5.11 atac"
"Mar 2, 2026, 9:48:34 PM",Recommendations Auto-Apply,Search,Ropa 5.11,"1 broad match keyword removed
  ropa 5.11 mexico"
"Mar 2, 2026, 9:59:28 AM",ponces.efrain@gmail.com,"Shopping - Bleeders, zombies, dead",,"1 budget amount decreased
  Shopping - Bleeders, zombies, dead: Budget amount changed from MX$250.00 to MX$80.00"
"Feb 25, 2026, 7:17:10 PM",ponces.efrain@gmail.com,PMAX Winners,,"1 budget amount increased
  PMAX Winners: Budget amount changed from MX$310.00 to MX$400.00"
"Feb 25, 2026, 7:16:26 PM",ponces.efrain@gmail.com,PMAX Improvers,,"Campaign changed
  Target ROAS changed from 200% to 300%"
"Feb 25, 2026, 7:16:19 PM",ponces.efrain@gmail.com,PMAX Improvers,,"1 budget amount decreased
  PMAX Improvers: Budget amount changed from MX$120.00 to MX$80.00"
"Feb 25, 2026, 7:15:31 PM",ponces.efrain@gmail.com,"Shopping - Bleeders, zombies, dead",,"Campaign changed
  Campaign bid strategy type changed from ""Maximize clicks"" to ""Target ROAS""
  Bid limit was MX$10.00
  Target roas is 330%"
"Feb 25, 2026, 7:14:46 PM",ponces.efrain@gmail.com,"Shopping - Bleeders, zombies, dead",,"1 budget amount decreased
  Shopping - Bleeders, zombies, dead: Budget amount changed from MX$300.00 to MX$250.00"
"Feb 25, 2026, 6:50:09 PM",ponces.efrain@gmail.com,Miguel Caballero Demand Gen,,"Budget changed
  Budget name changed from ""Miguem Caballero Demande Gen"" to ""Miguel Caballero Demand Gen""
Campaign changed
  Campaign name changed from ""Miguem Caballero Demande Gen"" to ""Miguel Caballero Demand Gen"""
"Feb 25, 2026, 6:49:44 PM",ponces.efrain@gmail.com,,,"1 Demand Gen ad changed
  Final URL is ""https://risktactical.mx/products/chaleco-blindado-miguel-caballero""
  Business name is ""Risk Tactical""
  Call to action text is ""Compre ahora"""
"Feb 25, 2026, 6:49:44 PM",ponces.efrain@gmail.com,Miguel Caballero Demand Gen,,"Budget set to ""Miguel Caballero Demand Gen""
  
Campaign created
  Bid strategy type is ""Maximize conversions""
  Location options (advanced): Targeting is ""people in, searching for, or viewing pages about my targeted location""
  Contains EU political advertising is false
  Marketing objective is Website traffic
  End time is ""No end date""
  Start time is Feb 25, 2026, 6:49:42 PM CST
  Status is active
  Not targeting ""Google TV Network""
  Ad rotation is ""Optimize: Prefer best performing ads""
  Opted into ""Google Search Network""
  Opted into ""Display Network""
  Opted into ""Display Network""
  Campaign ""Miguem Caballero Demande Gen"" created
  Conversion action set is ""(547858702)0|1/1""
Standard goals changed
  Purchases (Website) added
Account-default goals not used
  
2 languages added
  English
  Spanish
6 regions added
  Aguascalientes, Mexico
  Colima, Mexico
  Guanajuato, Mexico
  Jalisco, Mexico
  Michoacan, Mexico
  Tamaulipas, Mexico
4 platforms added
  Desktop
  Mobile Highend
  Tablet
  Connected TV"
"Feb 25, 2026, 6:49:44 PM",ponces.efrain@gmail.com,Miguel Caballero Demand Gen,Chaleco,"Ad group created
  Ad group targeting setting changed to ""Observation"" for ""Income range""
  Ad group targeting setting changed to ""Observation"" for ""Parental status""
  Ad group targeting setting changed to ""Observation"" for ""Gender""
  Ad group targeting setting changed to ""Observation"" for ""Age""
  Conservative targeting optimization turned on
  Max CPC is MX$0.01
  Max CPM is MX$0.01
  Target CPM is MX$0.01
  Status is enabled
  Name is ""Chaleco""
  Audience expansion turned on
  Exclude demographic expansion turned off
  Channels are ""All channels (includes Display)""
1 Demand Gen ad created
  Description is ""Chaleco blindado Miguel Caballero Nivel IIIA""
  Square marketing image is ""335219701000""
  Square marketing image is ""335219700985""
  Square marketing image is ""335131246988""
  Marketing image is ""335131761311""
  Marketing image is ""335131794287""
  Portrait marketing image is ""335131793897""
  Logo is ""246365406131""
  Headline is ""Chaleco Blindado Miguel Caballero""
  Headline is ""Chaleco Miguel Caballero""
  Headline is ""Protección Balística Discreta""
  Headline is ""Protección Profesional""
  Description is ""Protección balística profesional. Paneles extraíbles y malla interna transpirable.""
  Headline is ""Chaleco Blindado Nivel IIIA""
  Square marketing image is ""335219700997""
  Square marketing image is ""335219700994""
  Square marketing image is ""335219700991""
  Square marketing image is ""335217568855""
  Portrait marketing image is ""335131794257""
  Marketing image is ""335131230401""
  Square marketing image is ""335129516303""
  Description is ""Chaleco Nivel IIIA certificado NIJ. Discreto, ligero y termorregulador para uso diario.""
  Portrait marketing image is ""335219700988""
  Square marketing image is ""335129535575""
  Square marketing image is ""335257749759""
  Square marketing image is ""335257583268""
  Description is ""Blindaje Nivel IIIA discreto. Protege órganos vitales manteniendo tu movilidad.""
  Description is ""Chaleco Blindado Miguel Caballero cómodo y discreto""
  Portrait marketing image is ""335219701003""
  Square marketing image is ""335219700982""
  Square marketing image is ""335131566215""
  Final URL is ""https://risktactical.mx/products/chaleco-blindado-miguel-caballero""
  Business name is ""Risk Tactical""
  Call to action text is ""Compre ahora"""
"Feb 25, 2026, 6:49:32 PM",ponces.efrain@gmail.com,,,"1 Demand Gen ad changed
  Square marketing image is ""335131246988""
  Marketing image is ""335131230401""
  Square marketing image is ""335257583268""
  Portrait marketing image is ""335131793897""
  Portrait marketing image is ""335131794257""
  Portrait marketing image is ""335219700988""
  Square marketing image is ""335219700994""
  Square marketing image is ""335219700997""
  Description is ""Chaleco Blindado Miguel Caballero cómodo y discreto""
  Square marketing image is ""335257749759""
  Description is ""Blindaje Nivel IIIA discreto. Protege órganos vitales manteniendo tu movilidad.""
  Headline is ""Protección Balística Discreta""
  Headline is ""Chaleco Blindado Nivel IIIA""
  Square marketing image is ""335219701000""
  Square marketing image is ""335219700991""
  Square marketing image is ""335129516303""
  Marketing image is ""335131794287""
  Square marketing image is ""335219700982""
  Marketing image is ""335131761311""
  Headline is ""Protección Profesional""
