Search keyword
All time
Account name,Customer ID,Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Month,Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Cost / conv. (Converted currency),Conv. rate,Avg. CPM (Converted currency),Revenue,Converted currency code
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,June 2024,"6,147","20,889",29.43%,2.67, --,16395.43, --,71.75%,90.62%,22.86,0,717.12, --,0.37%, --,67287.02,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,July 2024,"6,019","23,018",26.15%,3.24, --,19528.84, --,62.98%,87.08%,56.83,0,343.66, --,0.94%, --,62385.37,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,May 2024,"5,675","21,017",27.00%,2.39, --,13543.99, --,67.41%,89.48%,39.74,0,340.80, --,0.70%, --,67939.68,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,August 2024,"5,625","24,337",23.11%,2.45, --,13778.34, --,58.55%,80.24%,47.66,0,289.08, --,0.85%, --,50115.04,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,November 2023,"5,174","19,355",26.73%,2.99, --,15476.78, --,62.82%,92.12%,49.00,0,315.85, --,0.95%, --,64247.15,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,September 2024,"5,073","22,422",22.63%,2.79, --,14153.25, --,55.69%,80.18%,17.13,0,826.22, --,0.34%, --,55019.73,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,March 2024,"4,650","13,578",34.25%,1.94, --,9012.93, --,74.49%,90.27%,23.00,0,391.85, --,0.49%, --,80927.46,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,June 2023,"4,638","15,468",29.98%,2.23, --,10358.34, --,61.56%,92.50%,95.00,0,109.04, --,2.05%, --,48222.77,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,December 2023,"4,489","13,395",33.51%,1.76, --,7906.54, --,71.21%,91.35%,46.00,0,171.88, --,1.02%, --,28384.00,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,November 2024,"4,433","19,437",22.81%,2.71, --,12027.75, --,50.29%,78.42%,70.33,0,171.01, --,1.59%, --,51999.56,MXN
