"ID","Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]"
"7766921838816","champion"
"7785116893408","champion"
"8907311841504","champion"
"8857622872288","champion"
"8840868364512","winner"
"8860311716064","champion"
"8769680310496","champion"
"8050611323104","champion"
"6945928775","winner"
"8878568308960","winner"
"8272348971232","champion"
"7819824627936","winner"
"7844391649504","champion"
"8878544060640","champion"
"8546920333536","winner"
"7067379015","winner"
"7928833409248","champion"
"8050609881312","champion"
"6321134600367","winner"
"7819838783712","winner"
"8690531533024","winner"
"7640049516768","champion"
"8529600807136","champion"
"6148260167855","improver"
"6931237575","winner"
"3803481669684","winner"
"8681555886304","winner"
"8793644040416","winner"
"6974614110383","winner"
"8050609750240","winner"
"8546914631904","zombie"
"8940409815264","improver"
"8014193131744","improver"
"8050611814624","winner"
"7928833212640","winner"
"3713056178228","winner"
"4489796059188","winner"
"7739012514016","champion"
"7819834523872","winner"
"8906743087328","champion"
"7928832917728","zombie"
"8940411158752","zombie"
"8050610929888","winner"
"10664622727","winner"
"8017989861600","winner"
"8825001214176","improver"
"9042321047776","winner"
"8597404352736","improver"
"8050611192032","improver"
"8835180232928","champion"
"8014193066208","improver"
"9447748141280","winner"
"8990084235488","winner"
"8904693022944","winner"
"8272349692128","winner"
"4422255018036","winner"
"7928835375328","champion"
"8050611454176","winner"
"6976337223","winner"
"8225754677472","winner"
"9200573513952","zombie"
"7928833638624","champion"
"8861992517856","winner"
"8972012159200","winner"
"4422554419252","winner"
"7572696563936","winner"
"9635302834400","zombie"
"9635302572256","zombie"
"6584959336623","zombie"
"1119780798516","improver"
"8596770914528","improver"
"8823476125920","winner"
"9045105770720","winner"
"8951276962016","improver"
"8050609815776","zombie"
"8963845947616","improver"
"8597220786400","winner"
"8050610667744","improver"
"8540633006304","zombie"
"7819830296800","improver"
"8272351297760","winner"
"8272350216416","winner"
"7819834851552","winner"
"8050608701664","winner"
"7819824955616","winner"
"9467052039","zombie"
"8864600424672","zombie"
"8050609717472","improver"
"8225753825504","winner"
"7819837669600","winner"
"6794663690415","winner"
"8064140148960","winner"
"583602962484","winner"
"8990139580640","winner"
"7819827020000","winner"
"8097528742112","improver"
"8951267983584","improver"
"9200119087328","zombie"
"7819839701216","improver"
"8860290908384","winner"
"8272351002848","zombie"
"9044344930528","winner"
"8272350707936","improver"
"8971535417568","zombie"
"8540609708256","improver"
"8096902611168","zombie"
"8272351756512","improver"
"8272360571104","winner"
"6956242174127","zombie"
"8540925755616","winner"
"8857704759520","improver"
"8146839896288","winner"
"6930843143","improver"
"8050611028192","winner"
"6959706695","winner"
"3709626187828","zombie"
"9447745880288","zombie"
"8272349888736","zombie"
"8050611781856","zombie"
"6965786247343","winner"
"7883739365600","zombie"
"8554424893664","zombie"
"8769707475168","improver"
"4169395109940","zombie"
"8895157600480","zombie"
"7819842519264","zombie"
"10159258055","zombie"
"8527464169696","zombie"
"7097054471","zombie"
"8554425811168","zombie"
"8050610372832","zombie"
"8691573293280","zombie"
"8990058152160","zombie"
"8557944176864","zombie"
"8272351953120","zombie"
"7919750840544","zombie"
"4425967927348","zombie"
"6762914513071","zombie"
"7919752970464","zombie"
"6321127653551","zombie"
"7819826888928","zombie"
"6800174343","zombie"
"1500359589940","zombie"
"8050610405600","zombie"
"8050611716320","zombie"
"8554258727136","zombie"
"8824796414176","zombie"
"8947136463072","zombie"
"8840908439776","zombie"
"9065190129888","zombie"
"8050611749088","zombie"
"8951268671712","zombie"
"7819825447136","zombie"
"8685065404640","zombie"
"6743473946799","zombie"
"9447731626208","zombie"
"7819741233376","zombie"
"8050610307296","zombie"
"8225754153184","zombie"
"422401638437","zombie"
"8972014125280","zombie"
"8050611650784","zombie"
"8835184197856","zombie"
"8096901562592","zombie"
"9044311245024","zombie"
"7092386247","zombie"
"7919752085728","zombie"
"7819826626784","zombie"
"9059162063072","zombie"
"7510448996576","zombie"
"8835989668064","zombie"
"8858102825184","zombie"
"6853236293807","zombie"
"8941525303520","zombie"
"6956086001839","zombie"
"8838962118880","zombie"
"8014193328352","zombie"
"10669158087","zombie"
"7819826921696","zombie"
"3780117790772","zombie"
"7887584100576","zombie"
"8824951636192","zombie"
"5296258449568","zombie"
"8272360472800","zombie"
"8990078173408","zombie"
"7928832753888","zombie"
"8856326701280","zombie"
"9094085935328","zombie"
"8642869199072","zombie"
"9629955883232","zombie"
"4422287884340","zombie"
"8823474389216","zombie"
"8272349495520","zombie"
"8683826839776","zombie"
"9200561094880","zombie"
"8873915220192","zombie"
"7655389790432","zombie"
"8856346165472","zombie"
"8547027091680","zombie"
"8050610831584","zombie"
"8825107382496","zombie"
"9449018753248","zombie"
"9200565518560","zombie"
"8878564606176","zombie"
"8904685486304","zombie"
"9199861432544","zombie"
"8874744185056","zombie"
"8272361488608","zombie"
"9449023111392","zombie"
"8823440408800","zombie"
"8225754480864","zombie"
"8557733740768","zombie"
"8864629981408","zombie"
"9448983101664","zombie"
"8950535749856","zombie"
"3713045332020","zombie"
"7689850814688","zombie"
"8050610110688","zombie"
"8643652157664","zombie"
"10182098503","zombie"
"6037800812719","zombie"
"7819838718176","zombie"
"8684130304224","zombie"
"8272352182496","zombie"
"8050610471136","zombie"
"8096902709472","zombie"
"9094454083808","zombie"
"7754461839584","zombie"
"9032575189216","zombie"
"8014192869600","zombie"
"9449081110752","zombie"
"8547119988960","zombie"
"7819829379296","zombie"
"8547068870880","zombie"
"8272350839008","zombie"
"7928833868000","zombie"
"8537895993568","zombie"
"8990085546208","zombie"
"7919751463136","zombie"
"8050611880160","zombie"
"8050611847392","zombie"
"6762874896559","zombie"
"8543300976864","zombie"
"8050610274528","zombie"
"9448981233888","zombie"
"6366412551","zombie"
"8050612502752","zombie"
"8861995794656","zombie"
"8096902512864","zombie"
"7819831771360","zombie"
"10184779975","zombie"
"6668098567","zombie"
"3708225323060","zombie"
"8272360866016","zombie"
"8547024240864","zombie"
"8950544662752","zombie"
"6956138528943","zombie"
"8859410727136","zombie"
"8823292100832","zombie"
"8951273914592","zombie"
"4429060112436","zombie"
"9065200353504","zombie"
"9635303850208","zombie"
"8826628374752","zombie"
"8272352444640","zombie"
"8684136169696","zombie"
"8272348578016","zombie"
"8823439524064","zombie"
"7819825283296","zombie"
"8096902185184","zombie"
"9449077801184","zombie"
"9243324807","zombie"
"8858102038752","zombie"
"8864615039200","zombie"
"6956125323439","zombie"
"8840865153248","zombie"
"8826428096736","zombie"
"7819830034656","zombie"
"8905311650016","zombie"
"9448975728864","zombie"
"7754500899040","zombie"
"9196331040992","zombie"
"8825122652384","zombie"
"8096902676704","zombie"
"8769660879072","zombie"
"8554414440672","zombie"
"9449074819296","zombie"
"8050610077920","zombie"
"8050609946848","zombie"
"7819739037920","zombie"
"6584678547631","zombie"
"8905324101856","zombie"
"8096902807776","zombie"
"8261915017440","zombie"
"7819827675360","zombie"
"10669413639","zombie"
"4428632031284","zombie"
"7819824890080","zombie"
"9327735603424","zombie"
"9200216342752","zombie"
"9447702233312","zombie"
"8096902447328","zombie"
"8096901529824","zombie"
"8835995107552","zombie"
"9200564044000","zombie"
"8050611126496","zombie"
"8878566768864","zombie"
"8835145695456","zombie"
"9200240099552","zombie"
"8989935403232","zombie"
"8990127096032","zombie"
"7919751528672","zombie"
"10202072071","zombie"
"7928833179872","zombie"
"7928833343712","zombie"
"7928833081568","zombie"
"8905331015904","zombie"
"8272355852512","zombie"
"9093917475040","zombie"
"8857108709600","zombie"
