id,custom_label_0
shopify_mx_7766921838816_43168592724192,champion
shopify_mx_7785116893408_43210946347232,champion
shopify_mx_8907311841504_47490548662496,champion
shopify_mx_8857622872288_47546054213856,winner
shopify_mx_8840868364512_47093136687328,champion
shopify_mx_8860311716064_47201577894112,champion
shopify_mx_8769680310496_46741783249120,winner
shopify_mx_8050611323104_44027702477024,champion
shopify_mx_6945928775_29065023879,winner
shopify_mx_8878568308960_47331273605344,winner
shopify_mx_8272348971232_44876387746016,winner
shopify_mx_7819824627936_43331329786080,champion
shopify_mx_7844391649504_43372483051744,champion
shopify_mx_8878544060640_47331026338016,champion
shopify_mx_8546920333536_45750058156256,winner
shopify_mx_7067379015_43360806502624,winner
shopify_mx_7928833409248_44638042259680,winner
shopify_mx_8050609881312_44027693236448,champion
shopify_mx_6321134600367_38362728726703,champion
shopify_mx_7819838783712_47296662896864,champion
shopify_mx_8690531533024_46524283453664,winner
shopify_mx_7640049516768_44170635641056,winner
shopify_mx_8529600807136_45710445019360,winner
shopify_mx_6148260167855_37822551883951,winner
shopify_mx_6931237575_28549148871,winner
shopify_mx_3803481669684_42365777019104,winner
shopify_mx_8681555886304_46269996368096,zombie
shopify_mx_8793644040416_46842568147168,winner
shopify_mx_6974614110383_46281115369696,winner
shopify_mx_8050609750240_44027692515552,champion
shopify_mx_8546914631904_45749983609056,zombie
shopify_mx_8940409815264_47596873220320,winner
shopify_mx_6321134600367_38362728693935,winner
shopify_mx_7785116893408_45403512668384,winner
shopify_mx_8014193131744_47785031041248,winner
shopify_mx_8050611814624_44027706114272,zombie
shopify_mx_6321134600367_38362728759471,improver
shopify_mx_7640049516768_47296346587360,champion
shopify_mx_7928833212640_43654532169952,winner
shopify_mx_3713056178228_43612037021920,winner
shopify_mx_4489796059188_43331075244256,champion
shopify_mx_7739012514016_43052873023712,zombie
shopify_mx_7819834523872_44075275223264,winner
shopify_mx_8906743087328_47487348572384,winner
shopify_mx_7928832917728_47004567797984,zombie
shopify_mx_8840868364512_47093136752864,winner
shopify_mx_8940411158752_47596877250784,zombie
shopify_mx_8050610929888_44027699036384,zombie
shopify_mx_10664622727_45926285319,winner
shopify_mx_8017989861600_43934456217824,winner
shopify_mx_6974614110383_43222704947424,winner
shopify_mx_8825001214176_47000674074848,winner
shopify_mx_6148260167855_37822550474927,winner
shopify_mx_9042321047776_48042142499040,zombie
shopify_mx_8597404352736_45929920069856,winner
shopify_mx_8050611192032_47181666844896,champion
shopify_mx_8835180232928_47059888472288,winner
shopify_mx_8014193066208_45414440337632,winner
shopify_mx_6321134600367_38362728661167,winner
shopify_mx_8690531533024_46524288663776,improver
shopify_mx_9447748141280_50120716943584,zombie
shopify_mx_7819824627936_43331329687776,improver
shopify_mx_8990084235488_47785956475104,winner
shopify_mx_3803481669684_42984695857376,winner
shopify_mx_8904693022944_47477942812896,winner
shopify_mx_8272349692128_44876389056736,winner
shopify_mx_4422255018036_45773079478496,zombie
shopify_mx_7928835375328_43654540361952,winner
shopify_mx_8050611454176_44027703853280,winner
shopify_mx_6976337223_46917748999,winner
shopify_mx_7785116893408_43210968826080,improver
shopify_mx_8225754677472_45781179891936,zombie
shopify_mx_9200573513952_48772471193824,zombie
shopify_mx_3803481669684_46274384363744,winner
shopify_mx_7928833638624_43654534070496,winner
shopify_mx_8861992517856_47212259770592,winner
shopify_mx_6974614110383_43222704980192,winner
shopify_mx_6148260167855_37822550573231,winner
shopify_mx_8972012159200_47720704868576,winner
shopify_mx_4489796059188_44170608967904,zombie
shopify_mx_4422554419252_31510386540596,zombie
shopify_mx_7572696563936_42480181772512,winner
shopify_mx_8690531533024_46311444381920,winner
shopify_mx_9635302834400_51243620794592,zombie
shopify_mx_9635302572256_51243618959584,zombie
shopify_mx_6584959336623_45743136669920,zombie
shopify_mx_8878568308960_47331273638112,zombie
shopify_mx_1119780798516_31454762500148,improver
shopify_mx_3803481669684_29270181675060,champion
shopify_mx_8596770914528_45929877504224,improver
shopify_mx_6945928775_29065022791,winner
shopify_mx_8823476125920_46989453459680,winner
shopify_mx_9045105770720_48048565747936,winner
shopify_mx_6148260167855_37822551589039,winner
shopify_mx_6148260167855_37822551851183,winner
shopify_mx_7819824627936_43331329753312,winner
shopify_mx_8951276962016_47636050608352,improver
shopify_mx_8050609815776_44027692876000,improver
shopify_mx_8963845947616_47680218726624,improver
shopify_mx_8597220786400_45929943466208,winner
shopify_mx_8050610667744_44027697627360,winner
shopify_mx_8540633006304_48772115988704,zombie
shopify_mx_7819830296800_43331328245984,winner
shopify_mx_8272351297760_47004540862688,zombie
shopify_mx_8272350216416_44876390826208,zombie
shopify_mx_7819834851552_43331336208608,zombie
shopify_mx_8050608701664_44027690746080,winner
shopify_mx_7819824955616_44020404814048,zombie
shopify_mx_9467052039_45772954468576,improver
shopify_mx_4489796059188_31751127007284,winner
shopify_mx_8014193131744_47785031008480,winner
shopify_mx_8864600424672_47229526147296,improver
shopify_mx_8050609717472_44027692155104,winner
shopify_mx_8225753825504_44957186851040,zombie
shopify_mx_7819837669600_43331340468448,winner
shopify_mx_6794663690415_47181649543392,zombie
shopify_mx_4422255018036_45773079511264,zombie
shopify_mx_8064140148960_47009781383392,zombie
shopify_mx_4422554419252_31510386180148,winner
shopify_mx_583602962484_47341693468896,winner
shopify_mx_7572696563936_42480181870816,zombie
shopify_mx_8050609881312_44027693301984,zombie
shopify_mx_8681555886304_46269996466400,winner
shopify_mx_6148260167855_37822550442159,improver
shopify_mx_8990139580640_47786187522272,winner
shopify_mx_8972012159200_47720704999648,winner
shopify_mx_8972012159200_47720704901344,improver
shopify_mx_7819827020000_43621102256352,winner
shopify_mx_6148260167855_37822550540463,improver
shopify_mx_8050611323104_44027702411488,improver
shopify_mx_8097528742112_44172612960480,winner
shopify_mx_8951267983584_47635975307488,improver
