Product report
"January 1, 2026 - May 3, 2026 compared to January 1, 2025 - May 3, 2025"
Image,Title,Item ID,Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),Orders,Orders (Compare to),Orders (Change),Orders (Change %),Currency code,Revenue,Revenue (Compare to),Revenue (Change),Revenue (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Product type (1st level)
http://t1.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Dark Coyote / 10 MX,shopify_mx_7640049516768_43562103832800,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,calzado
http://t1.gstatic.com/shopping?q=tbn:x,BOLSA 5.11 - MOAB 3 PRINT,shopify_mx_9200221946080_48771039166688,0,0,0,0.00%,518,0,518,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,bolsa
http://t0.gstatic.com/shopping?q=tbn:x,POLO 5.11 - ALL DAY MANGA CORTA Overcast Grey Stripe / S,shopify_mx_9629941039328_51212078252256,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t2.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - A/T 6 SIN CIERRE,shopify_mx_8895157600480_47437302169824,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --
http://t3.gstatic.com/shopping?q=tbn:x,"SHORT 5.11 - BIG SUR HYBRID 7"" Black Tropical Skull / S",shopify_mx_9629950640352_51212115181792,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,short
http://t1.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Ancient Fossil / 6 MX,shopify_mx_7640049516768_44170636067040,3,0,3,inf,177,0,177,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,3.62,0.00,3.62,inf,calzado
http://t1.gstatic.com/shopping?q=tbn:x,HIELERA 5.11 - ALLHAULA 30 CAN COOLER,shopify_mx_9065174302944_48118987718880,12,0,12,inf,1788,0,1788,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,80.13,0.00,80.13,inf,mochila
http://t2.gstatic.com/shopping?q=tbn:x,POLO 5.11 - PRESTIGE Black / L,shopify_mx_9629941825760_51212080709856,0,0,0,0.00%,10,0,10,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t1.gstatic.com/shopping?q=tbn:x,POLO 5.11 - PRESTIGE Cinder / M,shopify_mx_9629941825760_51212080808160,0,0,0,0.00%,2,0,2,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t0.gstatic.com/shopping?q=tbn:x,POLO 5.11 - ALL DAY MANGA CORTA Overcast Grey Stripe / XL,shopify_mx_9629941039328_51212078350560,0,0,0,0.00%,3,0,3,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t1.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Ancient Fossil / 9 MX,shopify_mx_7640049516768_44170636165344,0,0,0,0.00%,100,0,100,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,calzado
http://t3.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Pacific Navy / 6 MX,shopify_mx_7640049516768_44170636263648,2,0,2,inf,176,0,176,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,1.93,0.00,1.93,inf,calzado
http://t3.gstatic.com/shopping?q=tbn:x,POLO 5.11 - PRESTIGE Icelandic / L,shopify_mx_9629941825760_51212081103072,0,0,0,0.00%,5,0,5,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t2.gstatic.com/shopping?q=tbn:x,POLO 5.11 - PRESTIGE Black / XL,shopify_mx_9629941825760_51212080742624,0,0,0,0.00%,6,0,6,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t2.gstatic.com/shopping?q=tbn:x,PANTALON TACTICO 5.11 - TACLITE PRO PANTS Coyote / 30 / 34,shopify_mx_6945928775_45743544631520,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,pantalones
http://t0.gstatic.com/shopping?q=tbn:x,"SHORT 5.11 - BIG SUR HYBRID 7"" Pacific Navy / L",shopify_mx_9629950640352_51212114985184,0,0,0,0.00%,2,0,2,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,short
http://t1.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Umber Brown / 6 MX,shopify_mx_7640049516768_44170635870432,3,0,3,inf,205,0,205,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,1.95,0.00,1.95,inf,calzado
http://t2.gstatic.com/shopping?q=tbn:x,"SHORT 5.11 - BIG SUR HYBRID 7"" Pacific Navy / M",shopify_mx_9629950640352_51212114952416,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,short
http://t1.gstatic.com/shopping?q=tbn:x,BOLSA 5.11 - SKYWEIGHT OTG CROSSBODY,shopify_mx_9447787954400_50120968700128,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,bolsa
http://t1.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - ATAC 2.0 8 SHIELD,shopify_mx_8860304638176_47201545847008,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --
http://t0.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Coyote / 7 MX,shopify_mx_7640049516768_44170635706592,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,calzado
http://t3.gstatic.com/shopping?q=tbn:x,POLO 5.11 - ALL DAY MANGA CORTA Black Tropical Skull / S,shopify_mx_9629941039328_51212078383328,0,0,0,0.00%,5,0,5,inf,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,polo hombre
http://t2.gstatic.com/shopping?q=tbn:x,GORRA 5.11 - FAST-TAC UNIFORM HAT,shopify_mx_8895234310368_47437760594144,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%, --
http://t0.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Black / 8 MX,shopify_mx_7640049516768_47296346587360,91,0,91,inf,3308,0,3308,inf,1.00,0.00,1.00,inf,MXN,4500.00,0.00,4500.00,inf,88.67,0.00,88.67,inf,calzado
http://t0.gstatic.com/shopping?q=tbn:x,BOTAS TACTICAS 5.11 - TACTICAL A/T MID BOOT Double Tap / 7 MX,shopify_mx_7640049516768_44170635346144,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,calzado
http://t2.gstatic.com/shopping?q=tbn:x,RELOJ 5.11 -,shopify_mx_8878544060640_47331022504160,0,0,0,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,MXN,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,accesorio
