Item ID,Title,Clicks,Orders,Revenue,Cost,ROAS,Recommended_Bucket,Reason
shopify_mx_8840868364512_47093136687328,MOCHILA TACTICA 5.11 - LVC10 2.0 SLING PACK Tundra,490,4,12465.42,1461.31,8.53,Champions,ROAS>=8_clicks>=100
shopify_mx_6321134600367_38362728759471,MOCHILA TACTICA 5.11 - RUSH 12 2.0 Ranger Green,487,2,4501.86,1391.7,3.23,Improvers,ROAS_2_to_4
shopify_mx_6945928775_29065023879,PANTALON TACTICO 5.11 - TACLITE PRO PANTS Dark Navy / 32 / 30,385,4,10061.19,1269.34,7.93,Winners,ROAS>=4
shopify_mx_7766921838816_43168592724192,CHALECO BLINDADO MIGUEL CABALLERO Black / Large,815,2,59700.0,1222.53,48.83,Champions,ROAS>=8_clicks>=100
shopify_mx_7819824627936_43331329687776,CHAMARRA TACTICA 5.11 - PRESTON JACKET Black / X-Large,460,1,2939.6,1120.32,2.62,Improvers,ROAS_2_to_4
shopify_mx_8793644040416_46842568147168,Pouch 5.11 Mission Ready,281,1,4848.63,1101.95,4.4,Winners,ROAS>=4
shopify_mx_8940409815264_47596873220320,Tenis tácticos 5.11 Ranger 2.0 Mid 6 MX,332,1,4693.04,1063.83,4.41,Winners,ROAS>=4
shopify_mx_8014193131744_47785031041248,BOLSA TACTICA 5.11 - LV6 2.0 WAIST PACK Peacot,375,3,4585.08,1063.55,4.31,Winners,ROAS>=4
shopify_mx_7067379015_43360806502624,CHALECO TACTICO 5.11 - PORTA PLACAS TACTEC Kangaroo / One Size,582,1,6290.0,1029.07,6.11,Winners,ROAS>=4
shopify_mx_8690531533024_46524288663776,BOLSA TACTICA 5.11 - 2-BANGER Double Tap,317,1,3092.99,889.68,3.48,Improvers,ROAS_2_to_4
shopify_mx_8840868364512_47093136752864,MOCHILA TACTICA 5.11 - LVC10 2.0 SLING PACK Black,195,1,3968.14,868.61,4.57,Winners,ROAS>=4
shopify_mx_8825001214176_47000674074848,"Chamarra 5.11 Vista – Resistente, Cómoda y Perfecta para Aventura Black / L",234,1,3501.13,860.58,4.07,Winners,ROAS>=4
shopify_mx_6148260167855_37822551883951,PANTALON TACTICO 5.11 - ABR PRO PANT Dark Navy / 38 / 30,273,2,5391.77,845.84,6.37,Winners,ROAS>=4
