Title,Item ID,Clicks,Impr.,Orders,Currency code,Revenue,Cost,Product type (1st level),ROAS,CTR
CHALECO BLINDADO MIGUEL CABALLERO Black / Large,shopify_mx_7766921838816_43168592724192,815,29294,2,MXN,59700,1222.53,chaleco balístico,4883%,2.78%
MOCHILA TACTICA 5.11 - RUSH 72 2.0 Black,shopify_mx_7785116893408_43210946347232,172,11375,2.97,MXN,13593.3,649.85,mochila,2092%,1.51%
Chaleco 5.11 TacTec Trainer Volcanic,shopify_mx_8907311841504_47490548662496,173,19418,1.78,MXN,13262.42,545.28,chaleco,2432%,0.89%
Tenis 5.11 PT-R Inure Runner | Alto Rendimiento para Cardio Kangaroo / 7 MX,shopify_mx_8857622872288_47546054213856,63,8138,2.85,MXN,12553.87,173.08,calzado,7253%,0.77%
MOCHILA TACTICA 5.11 - LVC10 2.0 SLING PACK Tundra,shopify_mx_8840868364512_47093136687328,490,49090,4.01,MXN,12465.42,1461.31,mochila,853%,1.00%
Botas Tácticas 5.11 A/T Elite GORE-TEX Mid - Comodidad y Durabilidad Black / 8 MX,shopify_mx_8860311716064_47201577894112,290,21640,0.75,MXN,11334.98,699.98,calzado,1619%,1.34%
CHAMARRA TACTICA 5.11 - HQ TECH FLEECE Black / L,shopify_mx_8769680310496_46741783249120,81,7176,3.59,MXN,11148.92,397.45,chamarra,2805%,1.13%
PANTALON TACTICO 5.11 - MERIDIAN PANT Kangaroo / 40 / 30,shopify_mx_8050611323104_44027702477024,130,9184,2.15,MXN,10732.29,362.3,pantalones,2962%,1.42%
PANTALON TACTICO 5.11 - TACLITE PRO PANTS Dark Navy / 32 / 30,shopify_mx_6945928775_29065023879,385,18304,4.85,MXN,10061.19,1269.34,pantalones,793%,2.10%
Pantalón táctico 5.11 Trail Black / 34 / 32,shopify_mx_8878568308960_47331273605344,43,5424,1.21,MXN,9426.42,121.87,pantalones,7735%,0.79%
MOCHILA TACTICA 5.11 - RUSH MOAB 8 Black,shopify_mx_8272348971232_44876387746016,41,3143,1,MXN,8049.01,68.67,mochila,11721%,1.30%
CHAMARRA TACTICA 5.11 - PRESTON JACKET Black / Medium,shopify_mx_7819824627936_43331329786080,118,4766,2.52,MXN,7997.28,369.02,chamarra,2167%,2.48%
CHALECO TACTICO 5.11 - TACTEC PORTA PLACAS CON PLACAS DE PESO Black / PAR DE PLACAS DE 14 LIBRAS,shopify_mx_7844391649504_43372483051744,212,12640,1,MXN,7290,559.5,chaleco,1303%,1.68%
Reloj táctico 5.11 Field Watch Kangaroo,shopify_mx_8878544060640_47331026338016,114,13077,2,MXN,7050,351.51,accesorio,2006%,0.87%
"Mochila 5.11 Responder 72, Gran Capacidad para Emergencias Fire Red",shopify_mx_8546920333536_45750058156256,334,24277,1,MXN,6360,834.1,mochila,762%,1.38%
CHALECO TACTICO 5.11 - PORTA PLACAS TACTEC Kangaroo / One Size,shopify_mx_7067379015_43360806502624,582,33471,1,MXN,6290,1029.07,chaleco,611%,1.74%
CAMISA TACTICA 5.11 - GUNNER SOLID MANGA LARGA Granade / Medium,shopify_mx_7928833409248_44638042259680,81,6982,1.23,MXN,6177.44,288.32,camisa hombre,2143%,1.16%
CHAMARRA TACTICA 5.11 - RADAR PACKABLE HOODED JACKET Black / Large,shopify_mx_8050609881312_44027693236448,182,8282,3.07,MXN,6125.58,460.06,chamarra,1331%,2.20%
MOCHILA TACTICA 5.11 - RUSH 12 2.0 Double Tap,shopify_mx_6321134600367_38362728726703,152,11079,2.35,MXN,5955.75,479.29,mochila,1243%,1.37%
CAMISA TACTICA 5.11 - ABR PRO MANGA LARGA Dark Navy / Large,shopify_mx_7819838783712_47296662896864,276,12244,1,MXN,5728.99,595.47,camisa hombre,962%,2.25%
BOLSA TACTICA 5.11 - 2-BANGER Black,shopify_mx_8690531533024_46524283453664,348,17053,3.28,MXN,5675.56,775.54,bolsa,732%,2.04%
